dia	mes	agno	personaje	texto
1	1	2021	1	1 de gener de 1914. Va néixer Manuela Garín Pinillos, una de les pioneres de les matemàtiques mexicanes. Els seus models matemàtics van ajudar a explicar el camp magnètic de la Terra.
2	1	2021	2	2 de gener de 1839. Louis Daguerre va intentar fer la primera foto de l'espai. Per fer-la va utilitzar un daguerreotip i un telescopi, però no va tenir èxit (la foto va sortir borrosa).
3	1	2021	3	3 de gener de 1871. Henry Bradley va patentar la primera margarina. La seva recepta estava feta principalment amb oli de cotó i greix animal.
4	1	2021	4	4 de gener de 1963. Va néixer la neurocientífica May-Britt Moser. Va rebre un Premi Nobel per la seva investigació sobre les cèl·lules de xarxa situades al cervell.
5	1	2021	5	5 de gener de 1895. Va néixer la microbiòloga Rebecca Craighill Lancefield. Va inventar un nou mètode per classificar els bacteris del grup Streptococcus.
6	1	2021	6	6 de gener de 1838. Samuel Morse i Alfred Vail van utilitzar el telègraf en públic per primera vegada. Aquest invent es va convertir en un dels sistemes de comunicació més populars durant dècades.
7	1	2021	7	7 de gener de 1992. L'empresa AT&T va presentar el videòfon. Va ser el primer telèfon amb pantalla de vídeo.
8	1	2021	8	8 de gener de 1988. La Base Antàrtica Espanyola Juan Carlos I va quedar inaugurada. Aquesta base científica és gestionada pel CSIC i es localitza a l'illa Livingston de l'Antàrtida.
9	1	2021	9	9 de gener de 1923. L'inventor Juan de la Cierva va utilitzar amb èxit l'autogir. Aquesta aeronau és una barreja d'avió i helicòpter.
10	1	2021	10	10 de gener de 1860. El metro de Londres va quedar inaugurat. Aquest metro és el sistema de transport públic sota terra més antic del món.
11	1	2021	11	11 de gener de 1907. Va néixer la immunòloga Mary Shaw Shorb. Mary va desenvolupar una tècnica per analitzar la vitamina B12. Amb això va contribuir a combatre l'anèmia perniciosa.
12	1	2021	12	12 de gener de 1925. Neix el veterinari Miguel Cordero del Campillo. Va ser una autoritat mundial en el camp de la parasitologia. Va tenir un paper clau en el naixement de la Universitat de León.
13	1	2021	13	13 de gener de 1927. Va néixer el biòleg Sydney Brenner. Va rebre un Premi Nobel per les seves investigacions sobre la regulació genètica del desenvolupament i la mort cel·lular.
14	1	2021	14	14 de gener de 1973. Elvis Presley va realitzar el primer concert transmès per via satèl·lit. Es va fer des del Centre Internacional de Honolulu i es va poder veure a 40 països.
15	1	2021	15	15 de gener de 1826. Va néixer l'assistent científica Marie Pasteur. Va treballar com a assistent i col·laboradora de Louis Pasteur, amb qui estava casada. El seu suport va ser essencial en els descobriments de l'investigador.
16	1	2021	16	16 de gener de 1932. Va néixer la zoòloga Dian Fossey. Va ser una observadora pacient del comportament dels goril·les i va fundar el Centre d'Investigació de Karisoke (Rwanda). Aquest centre és la major esperança per a la conservació dels goril·les de muntanya.
17	1	2021	17	17 de gener de 1897. Va néixer la física Caroline Emilie Bleeker. Els seus estudis més coneguts inclouen el disseny i la fabricació d'instruments òptics.
18	1	2021	18	18 de gener de 1969. Un equip d'astronomia de la Universitat d'Arizona va detectar els senyals òptics d'un púlsar per primera vegada.
19	1	2021	19	19 de gener de 1915. Georges Claude va patentar el primer tub de neó. Aquest invent es va popularitzar amb rapidesa gràcies al seu ús en cartells publicitaris.
20	1	2021	20	20 de gener de 1944. Es va fundar l'Estació de Biologia Experimental de Cogullada (coneguda actualment com a Estació experimental Aula Dei). L'objectiu d'aquest institut del CSIC és millorar la competitivitat i sostenibilitat del sector agrícola.
21	1	2021	21	21 de gener de 1865. Va néixer Sophia Jex-Blake, qui és coneguda com una de les Set d'Edimburg. Va dirigir la campanya per assegurar l'accés de les dones a l'educació universitària i després va estudiar Medicina.
22	1	2021	22	22 de gener de 1909. Va néixer el farmacèutic i biòleg Faustino Cordón. Les seves investigacions van estar centrades en el camp de l'evolució. El 1979 va crear la Fundació per a la Investigació sobre la Biologia Evolucionista.
23	1	2021	23	23 de gener de 1921. Va néixer l'arqueòloga Marija Gimbutas. Va proposar la hipòtesi dels Kurgan. Aquesta hipòtesi va combinar l'arqueologia i la lingüística per a situar la seu originària dels pobles que parlaven l'idioma protoindoeuropeu.
24	1	2021	24	24 de gener de 1809. Va néixer el naturalista Mariano de la Paz Graells. Va descriure noves espècies d'insectes, entre les quals destaca la magnífica papallona isabelina (Graellsia isabelae).
25	1	2021	25	25 de gener de 1235. Possible data de naixement de Ramon Llull. El seu escrit titulat L'arbre de la ciència és el primer tractat científic sobre naturalesa a Espanya.
26	1	2021	26	26 de gener de 1941. Va néixer la bioquímica Joan Elaine Argetsinger Steitz. Va guanyar fama internacional pels seus descobriments sobre l'ARN.
27	1	2021	27	27 de gener de 1876. L'enginyer elèctric Elisha Gray va sol·licitar la patent del telègraf musical. Va ser un dels primers instruments musicals elèctrics.
28	1	2021	28	28 de gener de 2013. La supercomputadora IBM Sequoia va batre un rècord de càlcul modelant un motor per un jet experimental. Per aconseguir-ho va comptar amb l'ajuda de més d'un milió de nuclis de processament.
29	1	2021	29	29 de gener de 1947. Va néixer la biòloga i metgessa Linda Brown Buck. Va guanyar un premi Nobel pel seu descobriment dels receptors de l'olfacte i l'organització del sistema olfactiu.
30	1	2021	30	30 de gener de 1975. L'escultor Ernő Rubik va sol·licitar la patent del cub màgic. Aquest invent es coneix actualment com el cub de Rubik.
31	1	2021	31	31 de gener de 1925. Va néixer Manuel Jalón. Va realitzar nombroses patents, incloent-hi instruments tan coneguts com el pal de fregar o la xeringa hipodèrmica d'un sol ús.
1	2	2021	32	1 de febrer de 1949. Va entrar en funcionament el telescopi Hale, el més gran del món en aquest moment (200 polzades).
2	2	2021	33	2 de febrer de 1939. Va néixer la biotecnòloga Mary-Dell Chilton. Va ser una de les fundadores de la biotecnologia moderna en plantes.
3	2	2021	34	3 de febrer de 1900. Va néixer Juana Álvarez-Prida y Vega. Va ser una de les primeres químiques espanyoles. El 1990 va rebre el primer Premi Dona Progressista en la Ciència.
4	2	2021	35	4 de febrer de 1896. Thaddeus Cahill va sol·licitar la patent del telharmonium, el primer instrument musical completament electrònic i polifònic. El primer prototip pesava 200 tones i tenia una longitud de 18 metres de llarg.
5	2	2021	36	5 de febrer de 1949. Va néixer la paleontòloga Nieves López Martínez. Va ser reconeguda internacionalment com a experta en l'evolució dels lagomorfs (conills, llebres i piques) i en els esdeveniments biòtics i ambientals relacionats amb l'extinció massiva del Cretaci-Terciari.
6	2	2021	37	6 de febrer de 2014. La NASA va publicar la primera imatge capturada pel Rover Curiosity: la imatge de la Terra i la Lluna en el cel de Mart.
7	2	2021	38	7 de febrer de 1824. Va néixer William Huggins. Va revolucionar l'astronomia aplicant mètodes per determinar la composició química de les estrelles.
8	2	2021	39	8 de febrer de 1825. Va néixer Henry Bates. Va descobrir que, per protegir-se dels depredadors, algunes papallones inofensives s'assemblen molt a altres espècies que són tòxiques (mimetisme batesià).
9	2	2021	40	9 de febrer de 1859. Va néixer el constructor d'orgues Robert Hope-Jones. Va desenvolupar un orgue de teatre per acompanyar les pel·lícules mudes. Basant-se en el seu mecanisme, va patentar el diàfan, que és la potent sirena que se situa al costat dels fars i pot guiar els vaixells a la boira.
10	2	2021	41	10 de febrer de 1996. Als Estats Units, la supercomputadora IBM Deep Blue va derrotar per primera vegada a Garry Kasparov, campió mundial d'escacs.
11	2	2021	42	11 de febrer de 1939. Lise Meitner va publicar el primer descobriment de fissió nuclear d'urani quan absorbeix un neutró addicional.
12	2	2021	43	12 de febrer de 1809. Va néixer Charles Darwin, el famós naturalista que va elaborar la teoria de l'evolució mitjançant la selecció natural.
13	2	2021	44	13 de febrer de 1946. Va néixer la matemàtica Pilar Bayer. El 1986 va fundar el Seminari de Teoria de Nombres de Barcelona, en el qual s'emmarca la seva activitat investigadora.
14	2	2021	45	14 de febrer de 2005. Un equip d'investigadors del CSIC va obtenir i va seqüenciar ADN d'un individu neandertal procedent del jaciment d'El Sidrón.
15	2	2021	46	15 de febrer de 2001. Es va publicar a Nature (i l'endemà a Science) la seqüenciació i l'anàlisi inicial del genoma humà.
16	2	2021	47	16 de febrer de 2005. Va entrar en vigor el Protocol de Kyoto, conveni mundial per reduir les emissions de gasos d'efecte hivernacle.
17	2	2021	48	17 de febrer de 1874. Va néixer la geòloga Ida Helen Ogilvie. Va descobrir propietats de la lava i els efectes de l'aridesa sobre l'erosió dels sòls.
18	2	2021	49	18 de febrer de 1913. El químic i Premi Nobel Frederick Soddy va introduir el terme isòtop.
19	2	2021	50	19 de febrer de 1878. Thomas A. Edison va patentar el fonògraf.
20	2	2021	51	20 de febrer de 2010. Investigadors de l'IGME van descobrir la primera mantis religiosa fòssil i una de les més antigues que es coneixen en el món. Es va trobar al jaciment d'ambre de San Just, a Utrillas (Teruel), que té una edat d'uns 105 milions d'anys (període Cretaci).
21	2	2021	52	21 de febrer de 1947. L'inventor Edwin Herbert Land va mostrar per primera vegada en públic una càmera instantània de fotos, la Polaroid Land Camera.
22	2	2021	53	22 de febrer de 1876. Es va fundar la Universitat Johns Hopkins. Va ser la primera universitat dedicada específicament a la investigació mèdica als Estats Units. La fundació va ser possible gràcies a l'herència de l'empresari Johns Hopkins.
23	2	2021	54	23 de febrer de 1879. Va néixer Agnes Arber, botànica especialitzada en l'estudi de plantes monocotiledònies.
24	2	2021	55	24 de febrer de 1938. L'empresa DuPont va començar la fabricació del primer producte de niló destinat a la venda: un raspall de dents. Fins llavors es fabricaven principalment amb pèl del coll dels porcs.
25	2	2021	56	25 de febrer de 1869. Va néixer el químic Phoebus Levene. Va descobrir la desoxiribosa, un dels components principals de l'ADN.
26	2	2021	57	26 de febrer de 1958. Va néixer Susan Helms, dona astronauta que va batre el rècord del passeig espacial més llarg (gairebé 9 h).
27	2	2021	58	27 de febrer de 1869. Va néixer la patòloga Alice Hamilton. Va investigar sobre malalties industrials i va ajudar a aconseguir condicions de treball més segures.
28	2	2021	59	28 de febrer de 1953. Francis Crick i James Watson van publicar el descobriment de l'estructura de l'ADN. Tots dos van rebre el Premi Nobel el 1962. La seva col·laboradora, Rosalind Franklin, va morir el 1958 sense rebre cap reconeixement.
1	3	2021	60	1 de març de 1893. L'Institut Nacional de Meteorologia va elaborar el primer mapa del temps d'Espanya.
2	3	2021	61	2 de març de 1922. Va néixer la programadora Frances Bilas Spence. Va ser una de les sis programadores originals de la primera computadora digital de propòsit general ENIAC.
3	3	2021	62	3 de març de 1886. Va néixer l'educadora i pedagoga Helen Parkhurst. Va crear el Pla Dalton. Aquest pla es basa en l'absència d'assignatures i l'ús de guies d'investigació en lloc de llibres de text. La classe es converteix en un laboratori on l'alumnat completa l'aprenentatge a què es compromet mitjançant un «contracte» amb el professorat.
4	3	2021	63	4 de març de 1877. Va néixer l'etnòleg Robert Fritz Graebner. Va desenvolupar la teoria de Kulturkreis o Cercle cultural. Aquesta teoria postulava la difusió de cultures primitives derivades d'un sol tipus arcaic.
5	3	2021	64	5 de març de 2013. El Projecte Human Connectome va publicar imatges molt detallades de cervells humans. Aquestes imatges van permetre estudiar la complexitat de les estructures cerebrals i identificar les causes dels trastorns neuronals.
6	3	2021	65	6 de març de 1937. Va néixer l'enginyera i cosmonauta Valentina Tereshkova. Va ser la primera dona que va viatjar a l'espai exterior, a bord de la nau Vostok 6.
7	3	2021	66	7 de març de 2009. Es va llançar l'observatori espacial Kepler. La seva missió era descobrir planetes similars a la Terra al voltant d'altres estrelles.
8	3	2021	67	8 de març de 1839. Va néixer Josephine Cochrane. Va ser la inventora de la primera màquina rentavaixelles que va tenir èxit.
9	3	2021	68	9 de març de 1961. L'Sputnik 9 va portar a la gossa Chernushka a l'espai. A bord hi anaven també un conill d'Índies, un ratolí i un maniquí de proves anomenat Ivan Ivanovich. El maniquí va sortir disparat durant la reentrada i va aterrar amb un paracaigudes. La resta van arribar il·lesos dins de la càpsula.
10	3	2021	69	10 de març de 1876. Alexander Graham Bell va fer la primera trucada telefònica amb èxit de la història.
11	3	2021	70	11 de març de 1926. Va néixer el metge i investigador Thomas Earl Starzl. El 1967, va dur a terme el primer trasplantament de fetge amb èxit (després de diversos intents fallits).
12	3	2021	71	12 de març de 2015. Un nou tractament de la malaltia d'Alzheimer va aconseguir eliminar les plaques d'amiloide en el 75% dels casos (en ratolins).
13	3	2021	72	13 de març de 1988. Es va inaugurar el túnel Seikan entre les ciutats d'Aomori i Hakodate (Japó). És el túnel submarí més llarg del món.
14	3	2021	73	14 de març de 1963. Va néixer l'astronauta, polític i enginyer aeronàutic Pedro Duque. És conegut principalment per haver estat el primer astronauta de nacionalitat espanyola.
15	3	2021	74	15 de març de 1985. Es va registrar el primer domini "punt com" a Internet: Symbolics.com.
16	3	2021	75	16 de març de 1799. Va néixer la botànica Anna Atkins. És reconeguda com la primera dona fotògrafa.
17	3	2021	76	17 de març de 1963. María Elisa Álvarez Obaya va realitzar les anàlisis que van destapar el cas del metílic. Des de la seva modesta farmàcia de Lanzarote, María Elisa va demostrar que una sèrie d'estranyes morts es devien al consum de licors adulterats amb metanol.
18	3	2021	77	18 de març de 1987. Es va anunciar el descobriment de la superconductivitat a alta temperatura. Va ser en un congrés científic a Nova York.
19	3	2021	78	19 de març de 2019. Un estudi internacional amb participació del CSIC va determinar que els oceans absorbeixen el 31% del CO2 produït per l'activitat humana.
20	3	2021	79	20 de març de 2021. Dia Mundial del Pardal. Aquesta iniciativa busca cridar l'atenció sobre la situació dels pardals. La seva població pateix un important declivi, especialment a les ciutats.
21	3	2021	80	21 de març de 1866. Va néixer l'astrònoma Antonia Maury. Va treballar al Harvard College Observatory i va publicar un important catàleg d'espectres estel·lars.
22	3	2021	81	22 de març de 1920. Va néixer la geoquímica Katsuko Saruhashi. Va realitzar els primers mesuraments dels nivells de diòxid de carboni (CO2) en l'aigua de mar. Va mostrar evidències dels perills de la pluja radioactiva al mar i l'atmosfera.
23	3	2021	82	23 de març de 2005. José Luis Carrascosa i el seu equip del Centre Nacional de Biotecnologia van descriure per primera vegada l'estructura del virus de la verola.
24	3	2021	83	24 de març de 1882. Robert Koch va anunciar el descobriment del bacteri responsable de la tuberculosi. Era el Mycobacterium tuberculosi (bacil de Koch).
25	3	2021	84	25 de març de 1914. Va néixer l'agrònom Norman Borlaug. Anomenat el Pare de la Revolució Verda, va rebre el Premi Nobel de la Pau pels seus esforços per introduir les llavors híbrides en la producció agrícola a Mèxic, Pakistan i l'Índia. Això va augmentar la productivitat agrícola i es van salvar milions de vides humanes.
26	3	2021	85	26 de març de 1953. L'investigador Jonas Salk va anunciar el descobriment de la vacuna contra la poliomielitis. Gràcies a la vacunació, aquesta malaltia infecciosa, coneguda com a paràlisi infantil, ha estat erradicada d'Europa, Amèrica, Oceania i Àfrica.
27	3	2021	86	27 de març de 1827. Charles Darwin, amb 18 anys, va presentar el seu primer descobriment científic. Tractava sobre la biologia de petits animals marins.
28	3	2021	87	28 de març de 2013. La Universitat de Stanford va fer públic el desenvolupament d'un transistor biològic realitzat a partir de molècules d'ADN i ARN.
29	3	2021	88	29 de març de 1942. Va néixer la biòloga Ann A. Kiessling. Al costat de Mehran Goulian, va descobrir l'activitat de la transcriptasa inversa en cèl·lules humanes. Anteriorment es pensava que aquest enzim es trobava només en els retrovirus.
30	3	2021	89	30 de març de 1900. Va néixer la bibliotecària, filòloga i lexicògrafa espanyola María Moliner. Va ser l'autora del Diccionari d'ús de l'espanyol.
31	3	2021	90	31 de març de 1596. Va néixer René Descartes, el famós filòsof i matemàtic francès. Va ser l'autor del concepte "Penso, per tant existeixo".
1	4	2021	91	1 de abril de 1940. Va néixer la biòloga i ecologista Wangari Muta Maathai. Va rebre el Premi Nobel de la Pau 2004 per les seves contribucions al desenvolupament sostenible i la democràcia. Va ser la primera africana que va obtenir aquest guardó.
2	4	2021	92	2 de abril de 1618. Va néixer el físic Francesco Grimaldi. Va descobrir la difracció de la llum.
3	4	2021	93	3 de abril de 1934. Va néixer la primatòloga Jane Goodall. És reconeguda mundialment pels seus estudis sobre les interaccions socials i familiars dels ximpanzés.
4	4	2021	94	4 de abril de 1868. Va néixer la matemàtica Philippa Garrett Fawcett. Va guanyar una beca a la Universitat de Cambridge gràcies al seu extraordinari èxit en el Mathematical Tripos (1890). Va investigar sobre dinàmica de fluids.
5	4	2021	95	5 de abril de 1952. Va néixer el químic Venki Ramakrishnan. Va rebre el Premi Nobel per l'estudi de l'estructura i la funció del ribosoma.
6	4	2021	96	6 de abril de 1846. Va néixer Antonio Machado i Álvarez o "Demófilo", pare dels poetes Antonio i Manuel Machado. Va ser un dels primers folkloristes que va estudiar científicament el flamenc.
7	4	2021	97	7 de abril de 1995. Inauguració de la Domus de A Coruña, el primer museu interactiu de caràcter científic que tracta l'ésser humà d'una manera global i monogràfica.
8	4	2021	98	8 de abril de 1911. Va néixer el químic Melvin Calvin. Va rebre el Premi Nobel de Química pels seus treballs sobre l'assimilació del CO2 per les plantes.
9	4	2021	99	9 de abril de 1860. L'inventor Eduard León Scott de Martinville va realitzar la primera gravació coneguda de la veu humana. Era una veu soprano que interpretava la cançó Au clair de la Lune.
10	4	2021	100	10 de abril de 2011. Un estudi de l'IGME, CIATF i les Universitats Complutense i de Lisboa va descobrir dipòsits de tsunamis a Tenerife. Els tsunamis van provocar onades de més de 50 metres d'altura i van estar associats a la destrucció de l'edifici volcànic de Las Cañadas, anterior a l'actual Teide.
11	4	2021	101	11 de abril de 2013. Es descobreix que escoltar sons durant el son, en intervals de temps controlats, pot millorar la memòria.
12	4	2021	102	12 de abril de 1961. Yuri Gagarin es va convertir en el primer ésser humà en viatjar a l'espai. Ho va fer a bord de la nau soviètica Vostok 1.
13	4	2021	103	13 de abril de 2014. L'expedició Subvent de l'IGME va descobrir grans bancs de musclos quimiosintètics al voltant de deus de metà al Golf de Cadis. També va descobrir nous volcans submarins a Lanzarote.
14	4	2021	104	14 de abril de 1977. Rosemary Hutton va publicar un article sobre com la conductivitat elèctrica de les roques pot usar-se per investigar la història geològica.
15	4	2021	105	15 de abril de 1452. Va néixer Leonardo da Vinci, pintor, escultor, inventor, enginyer i arquitecte del Renaixement.
16	4	2021	106	16 de abril de 1921. Isaac Carasso va sol·licitar la patent per a l'elaboració d'una llet quallada anomenada comunament iogurt. Va batejar a la seva empresa Danone, pel diminutiu del nom del seu fill Daniel (Danón).
17	4	2021	107	17 de abril de 1887. Va néixer Clodomiro Picado. Va ser pioner en la investigació sobre serps i els seus verins. També va ser un dels precursors del descobriment de la penicil·lina.
18	4	2021	108	18 de abril de 1917. Va néixer la psicòloga Mamie Phipps Clark. Va treballar en la comprensió del desenvolupament de la consciència social en nens preescolars.
19	4	2021	109	19 de abril de 1946. Va néixer la química María Vallet Regí. És experta en el camp dels biomaterials amb aplicacions en traumatologia, odontologia o enginyeria tissular.
20	4	2021	110	20 de abril de 2017. Bryan Keith Holland va dipositar la seva tesi doctoral sobre els microARN de l'VIH. És més conegut pel seu sobrenom Dexter i per ser el cantant i guitarrista de la banda punk rock The Offsprings.
21	4	2021	111	21 de abril de 1838. Va néixer el conservacionista John Muir. Va defensar l'establiment dels parcs nacionals Sequonia i Yosemite.
22	4	2021	112	22 de abril de 1999. Obertura de la Casa de las Ciencias de Logroño. Aquest centre està dedicat a la divulgació de la cultura de la ciència i la tecnologia, a través d'exposicions, conferències, cursos, projeccions i demostracions científiques.
23	4	2021	113	23 de abril de 1933. Va néixer la informàtica Annie J. Easley. Va treballar en el Lewis Research Center de la NASA. Va formar part de l'equip que va desenvolupar el software del coet Centauro.
24	4	2021	114	24 de abril de 2013. IBM va desenvolupar un robot que combina telepresència i tecnologies de realitat augmentada per ajudar en projectes d'enginyeria en àrees remotes.
25	4	2021	115	25 de abril de 1945. Va néixer l'embriòloga Jean Marian Purdy. Va ser una de les responsables del desenvolupament de la fecundació in vitro.
26	4	2021	116	26 de abril de 1927. Va néixer la biòloga Anne McLaren. Va ser pionera en l'estudi de la biologia del desenvolupament. El seu treball va ajudar a desenvolupar la tècnica de fertilització in vitro.
27	4	2021	117	27 de abril de 1993. El trombonista John Kenny va ser el primer que va fer sonar un carnyx des de l'època celta. Per a això, va utilitzar una reconstrucció del carnyx de Deskford realitzada pel musicòleg John Purser i l'orfebre ohn Creed. L'instrument original i la reconstrucció es mostren al Museu Nacional d'Escòcia.
28	4	2021	118	28 de abril de 1932. Es va descobrir la vacuna contra la febre groga.
29	4	2021	119	29 de abril de 1894. Va néixer la física Marietta Blau. Va ser pionera en el registre i la identificació de partícules atòmiques mitjançant plaques d'emulsions fotogràfiques. El seu treball va contribuir a entendre millor les reaccions nuclears.
30	4	2021	120	30 de abril de 2010. Investigadors de l'IGME localitzen en mapes de segle XVIII i XIX un aiguamoll que havia desaparegut del registre històric.
1	5	2021	121	1 de maig de 2013. Va arrencar el projecte EMTASY per determinar el mecanisme que posiciona el cor a l'esquerra. Va ser dirigit per Ángela Nieto Toledano i va ajudar a entendre moltes malformacions congènites.
2	5	2021	122	2 de maig de 1997. L'equip científic d'Atapuerca va obtenir el premi Príncep d'Astúries d'Investigació Científica i Tècnica pel descobriment de l'Homo antecessor. Aquest homínid va viure a Europa fa 800.000 anys.
3	5	2021	123	3 de maig de 1910. Va néixer l'arqueòloga Anne Strachan Robertson. És coneguda pels seus estudis del mur d'Antonino i les monedes imperials romanes.
4	5	2021	124	4 de maig de 1825. Va néixer el biòleg Thomas Huxley. Va ser el primer que va suggerir que les aus van evolucionar a partir dels dinosaures.
5	5	2021	125	5 de maig de 1882. Va néixer el metge i científic espanyol Pío del Río Ortega. Va descobrir la micròglia, un tipus de cèl·lula del sistema nerviós.
6	5	2021	126	6 de maig de 1840. Va sortir a la venda el primer segell adhesiu. Tenia el perfil de la reina Victoria del Regne Unit i era conegut com el "penny black".
7	5	2021	127	7 de maig de 1954. Va començar la construcció del Pont Mackinac a Michigan. Va ser el pont penjant més llarg del món en el seu moment.
8	5	2021	128	8 de maig de 1980. L'OMS va certificar l'erradicació de la verola. Aquesta fita es va aconseguir gràcies a la vacunació.
9	5	2021	129	9 de maig de 1882. William H. Ford va patentar el disseny d'un estetoscopi amb la forma que encara s'usa en l'actualitat.
10	5	2021	130	10 de maig de 1888. Va néixer l'hematòloga Lucy Wills. Va descobrir un factor nutricional en el llevat que prevé i cura l'anèmia macrocítica en l'embaràs. Es coneix com el factor de Wills o folat, la forma natural de l'àcid fòlic.
